指标英文,指标中文,数值,单位
period,报告期间,2024年度,
scope,口径,consolidated,
unit_standard,单位,亿元,
revenue,营业收入,9452.67,亿元
net_income,归母净利润,83.41,亿元
operating_cashflow,经营现金流,-1685.56,亿元
gross_profit_marginal_rate,gross_profit_marginal_rate,0.27,%
net_profit_margin_revenue,net_profit_margin_revenue,0.27,%
roe,roe,34.89,亿元
eps,eps,17.56,亿元
cost_of_revenue,cost_of_revenue,7208.49,亿元
net_profit,net_profit,83.41,亿元
income_before_tax,income_before_tax,81.24,亿元
tax_rate,tax_rate,-0.02,亿元
net_assets,net_assets,238.04,亿元
roe_year_on_year_growth,roe_year_on_year_growth,-1.49,亿元
revenue_marginal_rate,revenue_marginal_rate,0.87,%
net_assets_per_share,net_assets_per_share,103.56,亿元
cfo_to_ni_ratio,CFO/净利润(%),-2020.8128521759982,%
